Symbol,Order Date,Transaction Date,Type,Cancel Reason,Amount,Price
RGC,6/16/25 12:44p ET,,Sell,"User Initiated","1,500","N/A"
STX,5/31/25 3:51p ET,6/2/25 9:30a ET,Buy,"","500","$117.01"
BYON,5/29/25 11:49a ET,5/29/25 11:50a ET,Buy,"","3,000","$6.77"
COST,5/29/25 11:41a ET,5/29/25 11:41a ET,Short,"","15","$1,009.00"
ELF,5/29/25 11:39a ET,5/29/25 11:39a ET,Buy,"","200","$114.14"
RGC,5/29/25 11:34a ET,5/29/25 11:38a ET,Buy,"","70","$707.00"
RGC,5/29/25 11:33a ET,5/29/25 11:38a ET,Cover,"","50","$707.00"
RKLB,5/28/25 11:31a ET,5/28/25 11:32a ET,Buy,"","300","$29.74"
BRK.B,5/28/25 11:29a ET,5/28/25 11:30a ET,Buy,"","20","$505.06"
AI,5/28/25 11:26a ET,5/28/25 11:26a ET,Buy,"","800","$23.38"
AVGO,5/28/25 11:25a ET,5/28/25 11:25a ET,Buy,"","75","$235.71"
MSFT,5/28/25 11:24a ET,5/28/25 11:24a ET,Buy,"","50","$459.34"
LUV,5/28/25 11:23a ET,5/28/25 11:23a ET,Buy,"","300","$32.75"
RGTI,5/28/25 11:18a ET,5/28/25 11:18a ET,Sell,"","2,000","$13.96"
ELF,5/27/25 10:32p ET,5/28/25 9:30a ET,Buy,"","100","$91.45"
RGTX,5/27/25 3:02p ET,5/27/25 3:03p ET,Buy,"","250","$47.54"
QBTS,5/27/25 3:00p ET,5/27/25 3:00p ET,Short,"","1,000","$17.15"
ACDVF,5/23/25 10:45p ET,5/27/25 9:45a ET,Buy,"","250","$13.66"
IONQ,5/23/25 10:45p ET,5/27/25 9:30a ET,Buy,"","200","$46.62"
BYON,5/23/25 10:43p ET,5/27/25 9:30a ET,Short,"","5,000","$5.82"
NXTT,5/23/25 10:42p ET,5/27/25 9:30a ET,Short,"","2,500","$2.17"
SHEL,5/23/25 10:41p ET,5/27/25 9:30a ET,Buy,"","400","$66.71"
RGTI,5/23/25 10:40p ET,5/27/25 9:30a ET,Buy,"","2,000","$14.97"
NVDA,5/23/25 10:39p ET,5/27/25 9:30a ET,Buy,"","300","$134.15"
OKLO,5/23/25 10:39p ET,5/27/25 9:30a ET,Buy,"","250","$49.50"
QBTS,5/23/25 10:38p ET,5/27/25 9:30a ET,Buy,"","2,100","$19.28"
RGC,5/23/25 10:35p ET,5/27/25 9:30a ET,Short,"","50","$550.00"
USAU,5/23/25 4:50p ET,5/27/25 9:30a ET,Buy,"","1,500","$10.74"
USOI,5/23/25 4:49p ET,5/27/25 9:30a ET,Buy,"","250","$54.13"
NPSCY,5/23/25 4:46p ET,5/27/25 9:45a ET,Buy,"","500","$7.00"
NSRGF,5/23/25 4:41p ET,5/27/25 9:45a ET,Buy,"","100","$109.03"
HOOD,5/23/25 4:39p ET,5/27/25 9:30a ET,Buy,"","200","$65.00"
ELF,5/23/25 4:39p ET,5/27/25 9:30a ET,Buy,"","50","$85.74"
AAPL,5/23/25 4:37p ET,5/27/25 9:30a ET,Short,"","200","$198.30"
V,5/21/25 10:26p ET,5/22/25 9:30a ET,Buy,"","50","$357.60"
WMT,5/21/25 10:25p ET,5/22/25 9:30a ET,Buy,"","1,000","$96.51"
SPYD,5/21/25 10:25p ET,5/22/25 9:30a ET,Buy,"","500","$41.99"
VEA,5/21/25 10:24p ET,5/22/25 9:30a ET,Buy,"","500","$54.66"
ZION,5/21/25 10:23p ET,5/22/25 9:30a ET,Buy,"","500","$46.43"
IJT,5/21/25 10:23p ET,5/22/25 9:30a ET,Buy,"","500","$127.22"
F,5/21/25 10:23p ET,5/22/25 9:30a ET,Buy,"","1,500","$10.48"
CRSR,5/21/25 10:22p ET,5/22/25 9:30a ET,Buy,"","5,000","$8.22"
NVDA,5/21/25 10:22p ET,5/22/25 9:30a ET,Buy,"","150","$132.18"
VTI,5/21/25 10:21p ET,5/22/25 9:30a ET,Buy,"","150","$286.36"
SPYD,5/21/25 10:20p ET,5/22/25 9:30a ET,Buy,"","500","$41.99"
DIS,5/21/25 10:20p ET,5/22/25 9:30a ET,Buy,"","100","$109.98"
COST,5/21/25 10:01p ET,5/22/25 9:30a ET,Buy,"","150","$1,027.73"
