Symbol,Order Date,Transaction Date,Type,Cancel Reason,Amount,Price
TMC,7/7/25 11:37a ET,7/7/25 11:37a ET,Sell,"","2,000","$6.83"
UNCY,7/7/25 11:36a ET,7/7/25 11:36a ET,Buy,"","26,308","$4.58"
NKE,6/25/25 2:19p ET,6/25/25 2:19p ET,Sell,"","2,024","$60.49"
RGTI,6/25/25 2:18p ET,6/25/25 2:18p ET,Buy,"","1,526","$11.57"
CLS,6/25/25 2:17p ET,6/25/25 2:17p ET,Buy,"","40","$151.71"
MIR,6/25/25 2:16p ET,6/25/25 2:16p ET,Buy,"","1,000","$21.72"
KEP,6/25/25 2:15p ET,6/25/25 2:16p ET,Buy,"","1,000","$13.71"
UNH,6/25/25 2:14p ET,6/25/25 2:14p ET,Sell,"","130","$302.00"
TMC,6/25/25 2:13p ET,6/25/25 2:13p ET,Buy,"","2,000","$7.64"
SMCI,6/25/25 2:12p ET,6/25/25 2:12p ET,Buy,"","600","$46.51"
SMCI,6/25/25 2:11p ET,6/25/25 2:11p ET,Sell,"","400","$46.46"
AVAV,6/25/25 2:09p ET,6/25/25 2:09p ET,Buy,"","50","$236.36"
KTOS,6/25/25 2:07p ET,6/25/25 2:07p ET,Buy,"","300","$42.51"
QS,6/25/25 2:05p ET,6/25/25 2:05p ET,Buy,"","1,500","$5.77"
NKTR,6/25/25 2:04p ET,6/25/25 2:04p ET,Buy,"","400","$31.80"
LHX,6/24/25 2:38p ET,6/24/25 2:39p ET,Buy,"","70","$246.27"
CLNN,6/24/25 2:32p ET,6/24/25 3:05p ET,Sell,"","5,208","$4.14"
CLNN,6/24/25 2:25p ET,,Sell,"User Initiated","5,208","N/A"
PONY,6/24/25 2:22p ET,6/24/25 2:23p ET,Sell,"","3,000","$13.13"
NUE,6/24/25 2:15p ET,6/24/25 2:15p ET,Sell,"","25","$128.02"
F,6/24/25 2:15p ET,6/24/25 2:15p ET,Sell,"","100","$10.81"
RIVN,6/24/25 2:09p ET,6/24/25 2:09p ET,Sell,"","100","$13.79"
HIMS,6/24/25 2:08p ET,6/24/25 2:08p ET,Sell,"","1,232","$43.09"
QUBT,6/13/25 11:38a ET,6/13/25 11:38a ET,Buy,"","1,810","$17.28"
KNSA,6/13/25 11:38a ET,6/13/25 11:38a ET,Buy,"","1,015","$27.92"
TNXP,6/13/25 11:37a ET,6/13/25 11:38a ET,Buy,"","1,045","$34.37"
GENI,6/13/25 11:37a ET,6/13/25 11:37a ET,Buy,"","4,222","$10.04"
TNGX,6/13/25 11:37a ET,6/13/25 11:37a ET,Buy,"","12,761","$4.99"
MODV,6/12/25 9:41p ET,6/13/25 9:30a ET,Sell,"","18,836","$3.24"
AAP,6/12/25 9:37p ET,6/13/25 9:30a ET,Sell,"","2,100","$50.07"
COIN,6/12/25 9:36p ET,6/13/25 9:30a ET,Sell,"","486","$237.45"
TSLA,6/11/25 3:37p ET,6/11/25 3:37p ET,Buy,"","60","$324.32"
URBN,6/11/25 3:35p ET,6/11/25 3:35p ET,Sell,"","251","$69.08"
OKLO,6/11/25 3:32p ET,6/11/25 3:32p ET,Buy,"","150","$67.88"
NEGG,6/11/25 3:29p ET,6/11/25 3:29p ET,Buy,"","1,000","$10.98"
QBTS,6/11/25 3:26p ET,6/11/25 3:26p ET,Buy,"","1,500","$16.47"
OKUR,6/11/25 3:22p ET,6/11/25 3:25p ET,Buy,"","10,000","$2.87"
ACDVF,6/11/25 3:21p ET,6/11/25 3:54p ET,Sell,"","500","$13.79"
PTON,6/11/25 3:19p ET,6/11/25 3:19p ET,Sell,"","6,856","$7.35"
LCID,6/11/25 3:18p ET,6/11/25 3:18p ET,Sell,"","10,000","$2.17"
GELS,6/10/25 11:34a ET,6/10/25 11:34a ET,Buy,"","12,191","$2.76"
BRLS,6/6/25 1:19p ET,6/6/25 1:20p ET,Sell,"","11,078","$5.65"
BRLS,6/6/25 1:18p ET,,Sell,"User Initiated","11,078","N/A"
