Symbol,Shares,% Holdings,Type,Price,Price Change,Price Change %,Value,Value Gain/Loss,Value Gain/Loss %,Players Holding
AMPX,"10,000",4%,BUY,"$7.84","-0.19","-2.34%","$78,421.00","-$2,179.00","-2.70%","N/A"
CURI,"200,000",43%,BUY,"$4.57","-0.08","-1.72%","$914,000.00","-$10,000.00","-1.08%","N/A"
OPEN,"200,000",24%,BUY,"$2.60","0.31","13.54%","$520,020.00","$74,000.00","16.59%","N/A"
VSTM,"20,000",5%,BUY,"$5.39","0.04","0.65%","$107,700.00","-$924.00","-0.85%","N/A"
WDH,"250,000",24%,BUY,"$2.04","0.22","11.91%","$509,175.00","$75,500.00","17.41%","N/A"
