Symbol,Shares,% Holdings,Type,Price,Price Change,Price Change %,Value,Value Gain/Loss,Value Gain/Loss %,Players Holding
BAC,"4,594",33%,BUY,"$48.39","0.25","0.52%","$222,303.66","$689.10","0.31%","N/A"
CELH,"2,525",17%,BUY,"$46.31","1.15","2.55%","$116,932.75","-$1,830.63","-1.54%","N/A"
DIS,"822",15%,BUY,"$121.95","-0.99","-0.81%","$100,242.90","-$402.78","-0.40%","N/A"
F,"11,217",19%,BUY,"$11.26","-0.12","-1.05%","$126,303.42","-$2,187.32","-1.70%","N/A"
MO,"1,736",15%,BUY,"$59.61","-0.16","-0.27%","$103,482.96","-$277.76","-0.27%","N/A"
