Symbol,Order Date,Transaction Date,Type,Cancel Reason,Amount,Price
WFC,5/13/25 12:51a ET,5/13/25 9:30a ET,Buy,"","267","$75.47"
GLD,5/13/25 12:50a ET,5/13/25 9:30a ET,Buy,"","100","$298.99"
SHY,5/13/25 12:48a ET,5/13/25 9:30a ET,Buy,"","607","$82.39"
GGAL,5/13/25 12:47a ET,5/13/25 9:30a ET,Buy,"","486","$62.06"
O,5/13/25 12:45a ET,5/13/25 9:30a ET,Buy,"","536","$55.88"
X,5/13/25 12:45a ET,5/13/25 9:30a ET,Buy,"","714","$42.33"
KLXE,5/13/25 12:43a ET,5/13/25 9:30a ET,Buy,"","5,076","$2.01"
NRT,5/13/25 12:43a ET,5/13/25 9:40a ET,Buy,"","2,049","$4.82"
USEG,5/13/25 12:40a ET,5/13/25 9:30a ET,Buy,"","9,345","$1.08"
ETR,5/13/25 12:39a ET,5/13/25 9:31a ET,Buy,"","246","$81.26"
CWEN,5/13/25 12:39a ET,5/13/25 9:30a ET,Buy,"","700","$28.52"
COP,5/13/25 12:37a ET,5/13/25 9:30a ET,Buy,"","270","$92.72"
SO,5/13/25 12:37a ET,5/13/25 9:30a ET,Buy,"","284","$87.79"
DUK,5/13/25 12:35a ET,5/13/25 9:30a ET,Buy,"","215","$115.96"
WMT,5/11/25 11:58p ET,5/12/25 9:30a ET,Buy,"","324","$97.71"
COST,5/11/25 11:43p ET,5/12/25 9:30a ET,Buy,"","30","$1,009.79"
